komentar,kategori
"Tapi dia lucu we, orang ngatain dia apapun gak di perduliin malah di jadiin bercandaan sama dia ",bukan hate speech
aku mending melihat k lina aja dengan kelucuannya daripada yang lain bkin stress,bukan hate speech
"setelah saya teliti lebih lama orangnya baik banget,  video ini benar2 buat saya terharu dengan kata2nya, semoga rezekinya selalu bertambah aja biar bisa sering membantu yang membutuhkan",bukan hate speech
"Memang ka lilu baik banget orangnya.. Gak pernah bohong,,, apa adanya..  aku juga pernah dikasih uang sejuta sama dia .. semoga selalu dilimpahkan ya kak rezekinya @linamukherjee_",bukan hate speech
"Giliran bagi2 duit, pada bilang sehat ka lilu.. murah rezeki dan lain2 tapi giliran ga lilu makan babi dihujat‚‚Tapi apa pun itu tetap semangat ka aku mah tim pantau aja ka, lakukan apa pun yang bikin ka lilu nyaman ya selagi ga melenceng ke hal negatif—@linamukherjee_ semoga pas aku ke JKT ga sengaja ketemu kaka",bukan hate speech
Semoga dilimpahkan rezeki kak Lina @linamukherjee_ ,bukan hate speech
"sepertinya mbk lina kurusan ya, tambah cantik mirip ameesha patel",bukan hate speech
"Cantik banget loh kalau dandan, ka lilu ini jarang nampilin kecantikan dia sih, kalau dah di tampilin kecantikan, wow banget",bukan hate speech
"Cantik banget kalau udah di filter.. kulit aslinya berubah warna,,",bukan hate speech
Hallo dek lilu... Mau adopsi kucing Persia gak?,bukan hate speech
Masyaallah cantik,bukan hate speech
Tambah usia tambah manis di setiap fotonya selalu mengalami perubahan,bukan hate speech
rambut curly nya kk cantik banget,bukan hate speech
Ka lilu mau dong dapat hadiah dari kka ... Apa aja deh aku lagi ulang tahun plus lagi ngidam lagi ni @linamukherjee_,bukan hate speech
"Aku tau kak lina aslinya sedih banget, ya walupun di kek gitu, tapi dia juga manusia yang punya perasaan",bukan hate speech
Posistif vibes banget. salut Sama mba nya slalu nanggepin positif ke netizen.,bukan hate speech
"Ya Allah ka lilu aku juga terharu walaupun fotomu dibuat begitu tapi justru KA lilu ketawa bahagia Masya Allah  semoga  semakin sukses, yakinlah semakin banyak org yang KA lilu begitu justru jd sorotan semua org",bukan hate speech
Tiap hari kayak ada yang kurang kalau ga nyimak ka lilu bikin candu hiburan juga,bukan hate speech
"Lucu juga,, kreatif,, untung Lilu baik,, malah di kasi duit ,,,salut dah buat Lilu dan fans kreatifnya",bukan hate speech
semangat kak lilu balik ujian yang kak lilu alami tapi yakin msih banyak orng yang peduli yang sayang sama kak lilu yaitu salah satu nya aku .,bukan hate speech
"Aku fans K-Pop juga sayang sama kamu ka sehat"" ya",bukan hate speech
jujur aku terharu ‚‚sempet2nya mereka bikin begini,bukan hate speech
"Kalau dekat aku cocok banget, doyan makan dan gak sirikan dengan makanan",bukan hate speech
Senyum juga jadi indah ya kak lilu,bukan hate speech
Makin ayu.,bukan hate speech
"manis cute banget kak lilu,,,, cantik sekali",bukan hate speech
love you kak lina,bukan hate speech
"AKU NGEFANS BANGET SAMA lina !!!  saya akan memberikan dukungan dan cinta untuk LINA, semangat ",bukan hate speech
Di  in aja ya kak Lin‚ siapa tau rejeki nya kayak member black pink ‚,bukan hate speech
Ada perubahan semenjak pernah jadi tahanan makin cantik dan pakaian  ya makin rapih. sukses terus kk lina,bukan hate speech
Sehat selalu kak ,bukan hate speech
sukses terus ka Lina. Semoga di beri ke tambahan. pepatah .mengatakan. makin tinggi pohon kelapa makin kencang angin menerpa. Makin sukses orang makin banyak gunjingan.,bukan hate speech
dapat gak kak... Bagi bagi kalau dapat kak.. Semangat untuk langkah yang lebih baik untuk kita semua. yang sudah ya sudah. Keep fight,bukan hate speech
kalau gitu kan enak kelihatan elegan ... ,bukan hate speech
"Kak lina mah biar gak dandan tetap cantik karena manis gka bosen di liatnya, hanya saja kak lina kadang gak sesuai dengan cara berpakaiannya aja, selebihnya mah saya suka liat manis, kalau dia bisa sdkit lebih langsing entahlah cantiknya gimana",bukan hate speech
Cantik banget kk lilu. Aku suka style kk hari ni. Natural tapi elegan  saya tidak mau tau tentang masalah kk atau penampilan kk yang kadang dibilang aneh karena tu masing masing orang. Tapi yang kusuka adalah cara kk berbisnis itu ya aku suka.,bukan hate speech
"kalau baju ini bagus dipakai nih kak, warnanya juga pas buat kaka, makeup nya juga udah bagus cakep",bukan hate speech
"Sebenarnya mba Lina ini manis asal pake baju yang benar, dandan yang benar,,",bukan hate speech
Kak lina super cantik . Mau dong di colek kak lina ,bukan hate speech
Ini bajunya yang model2 gini pas banget kk.,bukan hate speech
"Na gitu dong, makan yang halal2 aja , kan enak dipandang‚",bukan hate speech
Jadi rasanya persis asinan sayur atau buah namun dikasih saos khas thailand ebsok lusa aku bikin,bukan hate speech
ngiler lihatnya kak,bukan hate speech
"Nah gitu dong, makan yang halal2 aja , kan enak dipandang‚",bukan hate speech
Kog ikutan ngecas kemlecer ya mulut ini ‚,bukan hate speech
Jangan makan pedes2 dan kecut kk  @linamukherjee_ ingat tu lambung baru sembuh,bukan hate speech
Bentar lagi ada berita Lina mukerji makan udang mentah... benar nggak kak @linamukherjee_,bukan hate speech
Happy birthday semoga semua di lancarkan,bukan hate speech
Jadilah wanita berkepribadian walau tidak sempurna.. berkaryalah yang baik bukan berkarya untuk memancing dosa bagi penggemarmu. Carilah penghasilan dijalan yang baik bukan demi cuan kamu menghalalkan segalanya. (jangan mempertunjukan auratmu) rezeki gak akan kemana,bukan hate speech
Happy birthday sukses selalu k lilu kedepannya aminnn,bukan hate speech
"Kasus kemarin jadikan pelajaran ini suatu teguran dari Allah karena apa yang kamu kontenkan banyak yang menentang ajaran agama dan ketidak layakan dari gaya busanamu contohlah artis yang menonjolkan keahliannya tapi tetap santun berbusana berbahagialah kamu msh di tegur di dunia untuk berubah menjadi lebih baik itu kalau kamu cerdas,, semua manusia bs salah dan khilaf tapi berusaha menjadi lebih baik itu yang benar,. Tujuan kita pasti,, akhirat,, menegur dalam kebaikan itu harus sesama muslim yuk sama sama belajar lbh baik",bukan hate speech
"Setiap hidup Pasti ada cobaan nya masing2, pasti ada ujian yang harus di lewati ,, disinilah Allah ingin kita benar2 sadar siapa yang benar2 ada untuk kita, dan siapa yang hanya cari muka doang,,, yang paling penting tetap semangat, tetap lakukan yang terbaik, ambil hikmahnya,, dan kembali berkarir lagi... semoga sukses dunia akhirat",bukan hate speech
"kalau kaya gini selain keliatan lebih cantik, elegan, juga sopan, pertahankan yah ka lilu",bukan hate speech
"Nah kalau bajunya begini enak liatnya, malah makin cantik. ",bukan hate speech
Aku suka outfit yang ini,bukan hate speech
"Salah satu cara mencegah Cyberbullying adalah Pikir baik-baik sebelum posting!. @linamukherjee_ Yuk kita jaga media sosial supaya menjadi tempat yang aman dan nyaman terutama untuk remaja & anak-anak. Jadikan media sosial sebagai sarana kita untuk berbagi kebaikan,kebenaran, pengetahuan dan hal-hal positif lainnya.",bukan hate speech
"Cantik kok, bukan aneh tapi berani tampil beda dan itu yang jarang dimiliki orang. Karena pasti akan banyak kontra",bukan hate speech
mau ada rumor apapun semua tertutup dengan kebaikan ka lilu,bukan hate speech
"Haters yang dikomentari pasti bajunya. Ambil sisi positifnya saja lah. Mbak Lin ayu, manis, berbakat, pinter cari duit",bukan hate speech
banyak sedikit uang tetap sama juga makanan yang kita makan. beda hanya fasilitas dunia. terlalu bawa gaya hidup dan gengsi,bukan hate speech
kalau orang kaya benaran mah gini.. Pakaian Rapih.,bukan hate speech
"hebat klinik nya cari model nya yang benar2 perlu perawatan,. ‚‚‚‚",bukan hate speech
Ya Allah kadang suka pengen buka profil Ig satu satu yang sukanya main fisik.. apa yang ledek secantik bidadari? Seganteng pangeran? Bisa bisa nya cuma hina orang.. wahai maha sempurna.. bercerminlah ,bukan hate speech
kalau benar2 bisa bikin lina berubah.. dijamin laris manis klinik nyaa,bukan hate speech
Baik banget majikan nya. sampai pembantu nya juga disuru perawatan,bukan hate speech
Cantik banget dokternya....,bukan hate speech
"gak perlu menghina Kulit manusia emang beda2.. Ada yang hitam manis, ada yang hitam buluk. Ada yang kuning langsat ada yang sawo matang",bukan hate speech
Yang tulus menyayangi mu itu hanya Allah... Jangan pernah berharap ketulusan dari manusia... Saat ini mungkin dia berkata iya karena kamu masih ada diatas... Ketika kamu berada pada titik terendah mu... Baru kamu bisa lihat manusia yang mana2 benar tulus menyayangi mu...,bukan hate speech
"lanjuntukan sj hidupmu gak usah pedulikan yang menghujat dan nyinyir.. biasalah netijen, giliran bagi duit, hadiah pasti memuji  jalani aja apa yang membuatmu bahagia",bukan hate speech
"Sebenarnya kakak Lina tu cantik banget kk, lucu, mungkin hanya kadang pakaianya ajah yang kurang pas. Tapi apapun yang bikin kita nyaman itu nggak jadi masalah. Aku suka liat konten konten kk. Meskipun jarang coment.sehat selalu kk dan succes",bukan hate speech
"Sy followers baru Kak Lili, awalnya dari Tiktok yang lewat berandaku suka ngobrol panjang banget tentang suatu hal, dan saat itu mulai tertarik.. banyak kalimat yang buat sy Ok ini benar,  tetap jadi yang terbaik versi diri sendari .inspirasi untuk org lain..",bukan hate speech
"Saya tulus jadi fans kak lina ,,, semangat kak ,,, ingin kenangan dapat THR dari kak tanda cinta ku padamu ,,kak ,,,semoga rezeki ",bukan hate speech
Masha Allah kakak manis banget sehat sehat ya kak semoga panjang umur dan di lancarkan terus rezekinya seperti air yang mengalir tiada hentinya ,bukan hate speech
Cocok,bukan hate speech
Nikah aja,bukan hate speech
Mirip semonga berjodoh,bukan hate speech
"Si ka lilu si yang paling nyentrik yang ga peduli sama omongan orang mau gimana pun penampilan dia selalu PD aja ya ka, lagian juga ga minta makan sama mereka semangat kk ",bukan hate speech
Konsepnya bikini  cuma suka banget sama India,bukan hate speech
saran aja nih kak.kalau liat orng India pake saree kyanya gak pake BRA deeeh tapi ada dalamannya sendiri jd cantik liatnya,bukan hate speech
Sehat selalu kk lilu gak usah dngerin omongan orang kk. orang2 cuman cari sensasi kalau KK lilu dengerin nanti malih sakit kk.,bukan hate speech
Suka sekali liat kak lilu kalau di jalin gitu rambutnya  cantiknya natural love banyak2 kak,bukan hate speech
"Kolom komentar sudah menunjukan kurang nya etika dalam berkomentar , apa kalian fikir layak untuk mencemooh orang?",bukan hate speech
"Urusan salah benar urusan kk, yang salah itu di upload di medsos ",bukan hate speech
 semangat kak. Percaya bahwa cuma segelintir orang yang tidak menyukai kk liku dan sangat banyak yang menyayangi kak lilu. Tetap jadi diri sendiri ya kak,bukan hate speech
"Aku juga fans kak lina @linamukherjee_ kapan aku bisa memiliki hp dari kak lina seperti orng yang sudah pernah dapat ,kalau aku si sudah di pin ama kak lilu biar lama di kirim aku tetap sabar ga bawel seperti yang di ceritain kak lilu ada yang nagih terus dapat kayak di kejar rentenir ya kak kasian ,,ya",bukan hate speech
"Berarti terbukti kalau kak @linamukherjee_ terkenal, hayo mana tuh yang bilang orang2 yang minta foto sama kak Lina itu dibayar sama kak Lina biar kelihatan terkenal, iri bilang bos",bukan hate speech
Bukan masalah gendut atau tidak nya ..tapi cara berpakaian yang sopan dikit.,bukan hate speech
"Jangan terlalu bangga ya bun. Memakan makanan yang haram itu memiliki dampak yang dahsyat sekali. Tidak di terimah amal ibadah nya selama 40 hari. Apa lagi dengan keadaan yang sadar. Ketika Saad bin Abi Waggash meminta nasihat Rasulullah Saw, supaya doa-doanya dikabulkan, Rasulullah Saw. bersabda, ""Wahai Saad, perbaikilah makananmu (makan-lah makanan yang halal), niscaya engkau akan menjadi orang yang selalu dikabulkan doanya. Dan, demi jiwaku yang ada di tangan-Nya, sungguh jika ada seseorang yang memasukkan selama 40 hari. Dan, seorang hamba yang dagingnya tumbuh dari hasil menipu dan riba maka neraka lebih layak untuknya."" (HR. Thabrani).",bukan hate speech
Itu gaya yang kedua bikin ngakak sumpah,bukan hate speech
"Segar banget tu airny ka, Segar seperti liat uang,gimana carany biar bisa berenang kayak gitu ka",bukan hate speech
"kalau ga suka boleh,  coba lah untuk menghargai. ",bukan hate speech
"Aku senang mba lina kalau lagi bercerita, enak didengernyaa apalagi pengalaman2nya. Alangkah baiknya cara berpakaian,, lebih tertutup.. ",bukan hate speech
Asik berenang biar makin langsing,bukan hate speech
berkacalah pada diri kita sendiri sebelum menilai orang‚‚,bukan hate speech
Udah saya kesana tahun 2019 hehe lihat ikan pakai tabung dikepala enak... Bali luar biasa kalau wisata nya . ,bukan hate speech
kalau lihat kak lilu bikin konten selalu terhibur soalnya lucu gelagat nya,bukan hate speech
"Hai sekalian manusia, makanlah yang halal lagi baik dari apa yang terdapat di bumi, dan janganlah kamu mengikuti langkah-langkah syaitan; karena sesungguhnya syaitan itu adalah musuh yang nyata bagimu (QS. al-Baqarah: 168).",bukan hate speech
Maaf ya kk Lina tapi selama muslim wajib mengingatkan dan jika ada yang beri masukan jg itu baik berarti masih banyak yang perduli dan sayang sama kk lina,bukan hate speech
semoga pada akhirnya kamu mendapatkan hidayah  ,bukan hate speech
dan terjadilah perang komentar di bawah ini si paling baik si paling suci si paling tau semuanya adu argumen ‚‚ dan mereka adalah perempuan Semua ,bukan hate speech
Mau di ingatkan seperti apapun kalau Allah sudah menutup hati & telinganya GaK bakal bisa terima Nasehat itu… semoga Allah kasih hidayah dan kedepannya menjadi pribadi yang lbih baik lagi kita sama2 pendosa cuma beda jalan,bukan hate speech
"Nasib orang emang engga ada yang tau, tapi hidayah bukan untuk di tunggu, tapi hidayah itu di jemput,,sampai sini paham ,,,bagaimana ada hasil tanpa kita bekerja,  bagaimana bisa berubah tanpa ada kemauan. kembali lagi pada hati dan niat masing2",bukan hate speech
Rezeki orang itu beda beda. Percayalah di balik hujatan yang dia Terima. Ada banyak juga orang orang yang tulus menerima dia.,bukan hate speech
"Suka sih sama kak lilu, ramah baik hati banget,  semangat jadi yang lebih baik ya.",bukan hate speech
walaupun sudah terkenal tapi sama fans tetap baik. ga sombong.... Ga nolak saat di ajak foto..... Sehat2 terus kk... senang liat kaka lina.. baik dan apa adanya orangnya. ga di buat2... tetap hidup sederhana walaupun banyak uang.,bukan hate speech
Suka sih liat mba Lina apa adanya walau hujatan sana sini masa bodo orangnya. .. membuktikan juga banyak haters makin banyak juga rezeki ...,bukan hate speech
yang julid sama yang suka tetap banyak yang suka ya kk lilu,bukan hate speech
Aku yang orang biasa aja foto dan video yang aku upload ke sosial media sudah aku pastikan foto dan video terbaik aku. versi sempurna aku. Gak akan up foto dan video yang membuat aku akan malu.,bukan hate speech
apa adanya banget si ka masya allah ciri orang yang menikmati hidup ni kayak kk gini ni mau org bilang apa juga ga pduli,bukan hate speech
"kamu anggun sekali cantik paripurna mbak, memang style itu urusanmu, tapi dengan baju begini km nampak cantik banget, aku yakin banyak orang yang sependapat sm aku ",bukan hate speech
Kesannya kaya wanita berkelas kalau begini tampilannya,bukan hate speech
kalau gaya nya lg normal gini cakep sopan elegan,bukan hate speech
"Demi Allah yang ini cantik ga bohong ,, kalau makeup nya begini dan baju tertutup begini malah aura nya keluar , terlihat kalem dan berwibawa",bukan hate speech
"Setelah melihat komentar orang2 fix kayak nya KK mesti rutin suntik putih, dan perawatan di klinik kecantikan biar kece terus kulit nya",bukan hate speech
"Rambutnya bagus, make up nya bagus, outfitnya juga bagus pertahankan yang seperti ini kak",bukan hate speech
kalau bikin konten main totalitas,bukan hate speech
Tapi dia pintar loh.. Dia tau cara kerja agar dia bisa terus naik namanya,bukan hate speech
"Berat badan nya mungkin diatas 80 kg, untung mukanya cakep",bukan hate speech
Bahagia ya kak semangat untuk renang,bukan hate speech
"Sebenarnya kakak manis, tapi lebih terlihat anggun kalau pakaiannya proper. Saya ga nyuruh berhijab ya maksudku bajunya disesuaikan sama kondisi badannya. Mungkin kalau berenang dengan tubuh berisi dan big size di ukuran dada, bisa pake long line dengan strap lebar dibagian pundak dan punggung.",bukan hate speech
"Perawatan dong kak, katanya sebulan ratusan juta gajinya ‚ ga perlu kurus yang penting terawat. Cantik.",bukan hate speech
"yang kulihat orang kelihatannya baik, humble dan apa adanya  tanpa kepalsuan dalam hidupnya dia tetap percaya diri tanpa merasa insecure walau banyak netizen yang ngatain perihal body dan penampilannya.",bukan hate speech
Jadi diri sendiri itu penting yang asal tidak merugikan org lain semangat ,bukan hate speech
"kapan aku bisa percaya diri seperti mbak Lina pakai baju renang gitu, padahal aku langsing perut",bukan hate speech
"Ka lina cantik, bajunya juga cantik2. Maaf tapi yah kalau bisa lebih rapih di pakaian nya, tali bra jangan sampai balapan sama tali baju. Biar look nya lebih enak",bukan hate speech
Mbak maaf ..mbak cantik banget… apalagi kalau pake bajunya yang sopan … pasti tambah cantik luar dalam ,bukan hate speech
Kak lilu kan banyak uang mending biar kliatan lebih cantik lagi perutnya bisa di suntik lemak biar bagus,bukan hate speech
Pingin ketemu mbak lina  tapi kapan ya,bukan hate speech
aku dah yakin kalau fans kak lilu itu banyak. jangankan di sosmed di dunia nyata aja dah,bukan hate speech
Ini Suara lu kok bagus.. kenapa ga dari dulu sih lu nyanyi,bukan hate speech
"Sumpah suaranya bagus banget kak lilu ,,gas jadi penyanyi juga keluarin single yaa ",bukan hate speech
"Tanpa ngasi taupun aku sudah tau kalau kak Lina pintar cerdas, org pintar dilihat dari bicaranya, kalau ngomong gak belepotan itu udah cerdas #menuruntuku",bukan hate speech
Kan saya bilang dari dulu suara kamu bagus nyanyi juga dia... Ditunggu release nya,bukan hate speech
Tetap Rendah hati.... Biarkan sj mereka mau ngremehin.. yang Penting… Kak lina adalah kak lina apa adanya.... Semoga sehat dan bahagia selalu ,bukan hate speech
Suaranya Kak LiLu  Sukses Terus kak LiLu Ratu sosmed ,bukan hate speech
Aku. Mau ini kakak.. bole kasi. Ke aku gak,bukan hate speech
"Dari produk apa kak, harganya ramah di kantong ndak",bukan hate speech
kak lilu.. aku mau nanya. kalau dapat hadiah dari kak lilu harus ada uang administrasi dulu. makasih sebelum nya kaka cantik,bukan hate speech
No Debat... Produk Alpa Arbutin yang 1 ini memang... The best dan bisa mencerahkan kulit juga... Soalnya aku juga pakai ,bukan hate speech
Kawal kak lilu sampai centang biru,bukan hate speech
Masya allah ka lilu cantik banget sehat sehat ya ka tetap dalam do'a terbaiku———,bukan hate speech
Semangat mba lilu & semoga laris produk nya berkat adanya mba lilu,bukan hate speech
"Nah kalau pakaian nya seperti ini jd terlihat lebih rapi, elegan, manis, dan pintar",bukan hate speech
"Sebenarnya dia manis mukanya, cuma sering salah kostum aja.",bukan hate speech
 Allah mengucurkan rejeki terus menerus,bukan hate speech
keren banget dah emang teman saya  semoga kita juga bisa nyenengin ibu kita juga amin,bukan hate speech
AKHIRNYA KEPAKE JUGA ITU WIG HASIL CHECKOUT GABUT SHOPPE kemarin ,bukan hate speech
Kepake juga ya bang tu wig,bukan hate speech
"Suka banget liat persahabatan kalian+ circlenya pada baik baik banget, happy selalu terus saling suport and effortnya gak main main. Jadi pengen deh ada gabung sama mreka pasti ngakak mulu+ gak bakal ada dikucilkan. ",bukan hate speech
Kak @fadiljaidi  maaf banget ijin  Buat pasukan goib tolong banget bantu up kasus @pratiwinoviyanthi_real  yang dimana anak anak asuh nya dia di ambil dinsos secara paksa  tolong banget bantu up ,bukan hate speech
tombol pengen gini juga sama ayah,bukan hate speech
"Emang penyesalan datang di akhir, kak Yislam”",bukan hate speech
Saya mau pakmuh yang jadi center,bukan hate speech
"Kak yislam: turun harga diri saya, udah capek2 jd dokter disuruh jd jkt48",bukan hate speech
Pak dokter dikerjain sm yang suka iseng ,bukan hate speech
"Ka yislam terlihat sangat bahagia , sampai dia sudah tidak sanggup lagi",bukan hate speech
"Perasaan baru kemarin liat vlog surprise nya gagal, udah ulang tahun lagi aja ",bukan hate speech
Yang surprise gagal keburu kak yislam dateng itu udah setahun lalu ternyata ,bukan hate speech
"saya juga mau gitu bang nangis dibawah shower ,tapi dirumah saya masih pake gayung",bukan hate speech
sepertinya ini gak bisa ditanggung BPJS. Keluarga kayaknya sudah harus ikhlas ,bukan hate speech
Dil tangannya sudah sampai keriput belum kelamaan kena air?,bukan hate speech
cuma bang fadil doang yang bikin aku betah nonton endorsan begini‚,bukan hate speech
"Capek banget jadi rexona, harus setia setiap saat,",bukan hate speech
"Aku juga pake rexona yang itu kak, benar"" awet banget. Masih tetap wangi walaupun habis beraktivitas seharian",bukan hate speech
"""Yaudah kalau gaboleh minjem cepek, boleh dong komen di postingan terakhir""",bukan hate speech
Pantes endorsan numpuk . Tiap endorse terniat gini‚‚,bukan hate speech
"Jam 1 pagi serentak pada lapar terus makan bareng, tiba2 mama sama kaka ketawa gak selesai2‚",bukan hate speech
sampai gabisa bedain mana suara sautan burung mana suara ketawa wkwk,bukan hate speech
"Yah sayang banget gak kesorot muka kak yislam lagi ketawa, padahal kan itu jarang ketangkep kamera ",bukan hate speech
Lagi sedih lihat ini jadi nular banget ketawa mamanya  sampai lupa kalau lagi sedih,bukan hate speech
Penasaran mama Ida ngetawain apa,bukan hate speech
"Bang bikin konten sembunyiin sofa pak muh , bilang aja kalau dijual @fadiljaidi",bukan hate speech
GAK SIA SIA KAN DIL KOMEN saya SI FADIL BAU KETEK JADI LANGSUNG DINOTICE WKWK LUCU BANGET,bukan hate speech
BISMILLAH PASUKAN GOIB DIKASIH GRATIS BASO PAK MUH SEUMUR HIDUP:),bukan hate speech
Akhirnya ga bau ketek lagi,bukan hate speech
Rafathar sm cipung shining shimmering splendid banget ya Allah ,bukan hate speech
Kompak jagainnya ,bukan hate speech
Meskipun ringan mesin atm nya berharga mahal banget itu dil,bukan hate speech
Rafathar kenapa ganteng banget mashaa Allah,bukan hate speech
boleh iri gak si??? Pengen juga di perhatiin sama orang tua kayak gini. Tapi orang tua saya udah gada dua duanya. nangis tapi saya jujur senang lihatnya! Sayang pak muh —,bukan hate speech
"saya juga gitu dil waktu kecil lomba lari sampai lecet lecet dapat hadiah HP. Pesertanya saya, warga sama polisi.",bukan hate speech
WIB (waktu iri bagian barat),bukan hate speech
"Bentar bang mau lap air mata dulu, nanti balik lagi",bukan hate speech
Aku juga pernah balap lari waktu kecil di acara gathering tempat kerja bapak terus menang juara 1 di panggil buat ambil hadiah terus di panggung ditanya anak siapa aku sebutin nama bapakku ternyata itu moment yang buat bapak bangga banget sampai diulang2 ceritanya sampai aku wisuda kuliah  love alm. Bapak al-fatihah,bukan hate speech
Bukti kalau Pak Muh emang Tsundere kalau ama Fadil,bukan hate speech
"Vlog dong udah lama ga ada video terbaru ini di youtube setelah lebaran..... tiap hari ngecek mulu , nungguin video barunya",bukan hate speech
benar benar duet maut... ,bukan hate speech
Ganteng banget. Eh kena mantra juga saya,bukan hate speech
Komentar ini di baca oleh orang-orang yang akan sukses dimasa depan ,bukan hate speech
"Tuhan pas bikin pak Muh : Kau akan memiliki keluarga harmonis & taat padaku, hidup berkecukupan, dikaruniai sepasang anak yang penurut, dan kehidupan yang tenang. Malaikat: bukankah kehidupan itu terlalu sempurna untuk manusia??? Tuhan: Baiklah ku karuniakan lagi satu orang anak yang jahil untuk menguji kesabaran mu dan meramaikan suasana",bukan hate speech
pak muh ga bisa di ajak  akting wkwk lucu banget,bukan hate speech
"Masih ada besok, masih ada lusa, tapi gak tau dapat apa gak wkwk‚",bukan hate speech
"mantap banget ya kak Fadil, langsung keliatan hasilnya di Pak Muh thank you for sharing ya kak",bukan hate speech
"Dr awal keluar kalimat bangun jam 5,,, pah Muh udah langsung liat,, bakal pencitraan ni anak... Ternyata benar ‚‚",bukan hate speech
HAHAHA PAK MUH LANGSUNG BOMBASTIC SIDE EYE,bukan hate speech
"salah satu Ibadah adalah anak membawa orang tua nya berlibur,  membahagiakan orang tua ",bukan hate speech
"Bahkan pasukan goib pun tidak percaya... biasa bikin vlog aja siang siang: hai gais aku baru bangun, aku belum sholat AZHAR, sholat dulu ya gais. Kalian yang belum sholat jangan lupa sholat..",bukan hate speech
nih kalau bu ida nonton iklannya langsung diomelin kali  nyuci piring sama sendok satu doang sabunnya sebanyak itu,bukan hate speech
Udah nyobain dong @lifebuoyid dan benaran sat set bersih nya apalagi buat piring plastik yang berminyak mantap bersihnya  #LifebuoyCuciPiring,bukan hate speech
"Guys ini sabun cuci piring @lifebuoyid benaran bagus, murah dan wangi  gak sengaja beli dan coba pakai karena tebus murah malah ketagihan pakai ini  dibiarin dalam rendeman spons cuci piring seharian juga gak bau gitu sponsnya. Sedikit testi aja, biar pada ikutan coba ‚ gak dibayar loh ini komennya ",bukan hate speech
Harus di rayain bikin vlog 2 jam bareng Keanu sih mumpung di bali ‚‚‚,bukan hate speech
cuman Fadil nih yang viewers vlognya sebanding jumlah subscribernya…,bukan hate speech
Selamat bang fadil,bukan hate speech
Gas video terbaru bang,bukan hate speech
semangat buat vlog,bukan hate speech
ku berharap lu makin rajin edit video ya bang fadil jangan malas buat video kalau bisa durasi dipanjangin,bukan hate speech
Bang Fadil itu artinya harus rajin-rajin lagi bikin konten. kalau bisa setiap hari. seru banget. aku udah nungguin belum ada konten lagi,bukan hate speech
"Ulun muhammad Haddad mewakili keluarga Banjarmasin mengucapkan minal aidzin wal Faidzin mohon maaf lahir batin atas semua kesalahan yang di sengaja dan tidak disengaja,dari sikap, perbuatan, dan mungkin tutur kata yang kurang baik ... semoga di panjangkan umur untuk semuanya agar di tahun yang akan datang dapat bertemu dan berkumpul lagi dengan semua keluarga atau pun hanya bersangkut jauh dari saudara, dan semoga tali silahturahmi tetap terjaga",bukan hate speech
Mudik ke Tegal ya Fadil… salam buat mama Ida ya dari temanya umi Diba •,bukan hate speech
"seharian mood saya lagi gak bagus , tapi pas @fadiljaidi update youtube sama post foto pak @waroengpakmuh dengan muka yang gemes , bikin mood kembali membaik.. emang kalian moodbooster terbaik dah ",bukan hate speech
"aku sangat yakin dengan ikhtiar mengikuti Giveaway ini,bisa memberikan hadiah terbaik untuk ibu di masa tuanya yaitu UMROH bersama @scarlett_whitening @fadiljaidi @waroengpakmuh bismillah rindu ibu tersampaikan, mimpi ibu terwujudkan ",bukan hate speech
semoga aja bisa benar datang ke Baitullah•‹ dan ziarah ke Makam Rasulullah SAW ,bukan hate speech
"Gais! Buruan komen MAU sebanyak2nya! Makin banyak komen, makin tinggi kesempatan menangnya.  #ngasihtauajasih",bukan hate speech
"Wah gede nih bayaran pak muh, pinter banget aktingnya.. Wkwk",bukan hate speech
Tumben ngedit video nya bagus ‚‚‚,bukan hate speech
Sumpah tadi abis belanja di matahari diskon gede gedean cuy saya beli sendal harga 159rb jadi 100k dong diskonya lumayan tinggi banget,bukan hate speech
Okesip! Wajib banget sih dipantengin ini live TikToknya nanti. ,bukan hate speech
bisa bisanya sampai matahari endorse toko cici  masyaaAllah,bukan hate speech
Baju yang dipake bang fadil gemoy juga kayaknya ,bukan hate speech
"Bang kirimin saya hampers baju dari matahari bang, biasanya kalau mau lebaran koleksinya dia lucu2 kayak elu ",bukan hate speech
"Ka Fadhil, ayo buka endorse makanan. @dunia_peracian mau endorse",bukan hate speech
Ganteng banget anak pak muh bismillah thr,bukan hate speech
Muka nya bersinar secerah matahari ‚‚,bukan hate speech
"Di matahari juga ada produk baju muslim dari Batik Krisna Wahyu, lengkap pokoknya, ada baju gamis juga.",bukan hate speech
"kaya brosur ramayana bang, yang di sebarnya pake angkot",bukan hate speech
GK sekarang bang kalau emak saya ke matahari mepet sAma lebaran berangkat jam 5 pulang jam 10 cuma beli 3 barang,bukan hate speech
Ganteng bang @fadiljaidi mirip artis pak muh yang banyak terimakasih,bukan hate speech
"Kalau ke bulan butuh berbulan bulan perginya, mending pergi ke @matahari cukup seharian uda bisa bawa pakaian untuk lebaran  banyak diskon dan jika beruntung bisa dapat Toyota Alphard loh ",bukan hate speech
